day,ideal_coverage_percent,productivity_90_percent,productivity_75_percent
15.458333,0.00161559809844,0.00161559809844,0.00161559809844
15.500000,0.00163789370695,0.00163789370695,0.00163789370695
15.541667,0.00166049699976,0.00166049699976,0.00166049699976
15.583333,0.00168341222297,0.00168341222297,0.00168341222297
15.625000,0.0017066436813,0.0017066436813,0.0017066436813
15.666667,0.00173019573885,0.00173019573885,0.00173019573885
15.708333,0.00175407281996,0.00175407281996,0.00175407281996
15.750000,0.00177827941004,0.00177827941004,0.00177827941004
15.791667,0.00180282005638,0.00180282005638,0.00180282005638
15.833333,0.00182769936902,0.00182769936902,0.00182769936902
15.875000,0.00185292202164,0.00185292202164,0.00185292202164
15.916667,0.00187849275241,0.00187849275241,0.00187849275241
15.958333,0.00190441636487,0.00190441636487,0.00190441636487
16.000000,0.00193069772888,0.00193069772888,0.00193069772888
16.041667,0.00195734178149,0.00195734178149,0.00195734178149
16.083333,0.00198435352787,0.00198435352787,0.00198435352787
16.125000,0.00201173804228,0.00201173804228,0.00201173804228
16.166667,0.00203950046901,0.00203950046901,0.00203950046901
16.208333,0.00206764602331,0.00206764602331,0.00206764602331
16.250000,0.00209617999245,0.00209617999245,0.00209617999245
16.291667,0.00212510773663,0.00212510773663,0.00212510773663
16.333333,0.00215443469003,0.00215443469003,0.00215443469003
16.375000,0.00218416636183,0.00218416636183,0.00218416636183
16.416667,0.00221430833722,0.00221430833722,0.00221430833722
16.458333,0.0022448662785,0.0022448662785,0.0022448662785
16.500000,0.00227584592607,0.00227584592607,0.00227584592607
16.541667,0.00230725309959,0.00230725309959,0.00230725309959
16.583333,0.00233909369899,0.00233909369899,0.00233909369899
16.625000,0.00237137370566,0.00237137370566,0.00237137370566
16.666667,0.00240409918351,0.00240409918351,0.00240409918351
16.708333,0.00243727628014,0.00243727628014,0.00243727628014
16.750000,0.00247091122799,0.00247091122799,0.00247091122799
16.791667,0.0025050103455,0.0025050103455,0.0025050103455
16.833333,0.00253958003832,0.00253958003832,0.00253958003832
16.875000,0.00257462680049,0.00257462680049,0.00257462680049
16.916667,0.00261015721568,0.00261015721568,0.00261015721568
16.958333,0.0026461779584,0.0026461779584,0.0026461779584
17.000000,0.00268269579528,0.00268269579528,0.00268269579528
17.041667,0.00271971758633,0.00271971758633,0.00271971758633
17.083333,0.00275725028622,0.00275725028622,0.00275725028622
17.125000,0.00279530094561,0.00279530094561,0.00279530094561
17.166667,0.00283387671245,0.00283387671245,0.00283387671245
17.208333,0.00287298483335,0.00287298483335,0.00287298483335
17.250000,0.00291263265491,0.00291263265491,0.00291263265491
17.291667,0.00295282762511,0.00295282762511,0.00295282762511
17.333333,0.00299357729472,0.00299357729472,0.00299357729472
17.375000,0.00303488931872,0.00303488931872,0.00303488931872
17.416667,0.00307677145773,0.00307677145773,0.00307677145773
17.458333,0.00311923157945,0.00311923157945,0.00311923157945
17.500000,0.00316227766017,0.00316227766017,0.00316227766017
17.541667,0.00320591778626,0.00320591778626,0.00320591778626
17.583333,0.00325016015567,0.00325016015567,0.00325016015567
17.625000,0.00329501307949,0.00329501307949,0.00329501307949
17.666667,0.00334048498351,0.00334048498351,0.00334048498351
17.708333,0.00338658440979,0.00338658440979,0.00338658440979
17.750000,0.00343332001828,0.00343332001828,0.00343332001828
17.791667,0.00348070058843,0.00348070058843,0.00348070058843
17.833333,0.00352873502085,0.00352873502085,0.00352873502085
17.875000,0.00357743233898,0.00357743233898,0.00357743233898
17.916667,0.0036268016908,0.0036268016908,0.0036268016908
17.958333,0.00367685235051,0.00367685235051,0.00367685235051
18.000000,0.00372759372031,0.00372759372031,0.00372759372031
18.041667,0.00377903533217,0.00377903533217,0.00377903533217
18.083333,0.00383118684956,0.00383118684956,0.00383118684956
18.125000,0.00388405806934,0.00388405806934,0.00388405806934
18.166667,0.00393765892356,0.00393765892356,0.00393765892356
18.208333,0.00399199948135,0.00399199948135,0.00399199948135
18.250000,0.00404708995076,0.00404708995076,0.00404708995076
18.291667,0.00410294068075,0.00410294068075,0.00410294068075
18.333333,0.00415956216307,0.00415956216307,0.00415956216307
18.375000,0.00421696503429,0.00421696503429,0.00421696503429
18.416667,0.00427516007773,0.00427516007773,0.00427516007773
18.458333,0.00433415822555,0.00433415822555,0.00433415822555
18.500000,0.00439397056076,0.00439397056076,0.00439397056076
18.541667,0.00445460831933,0.00445460831933,0.00445460831933
18.583333,0.00451608289229,0.00451608289229,0.00451608289229
18.625000,0.00457840582785,0.00457840582785,0.00457840582785
18.666667,0.00464158883361,0.00464158883361,0.00464158883361
18.708333,0.00470564377872,0.00470564377872,0.00470564377872
18.750000,0.00477058269614,0.00477058269614,0.00477058269614
18.791667,0.00483641778488,0.00483641778488,0.00483641778488
18.833333,0.0049031614123,0.0049031614123,0.0049031614123
18.875000,0.00497082611644,0.00497082611644,0.00497082611644
18.916667,0.00503942460835,0.00503942460835,0.00503942460835
